id;reservation_code;reservation_date;start_time;end_time;party_size;status;special_requests;internal_notes;reminder_sent_at;confirmed_at;cancelled_at;cancellation_reason;created_at;updated_at;client_id;location_id;room_id
1;LP-240001;2026-03-04;13:00;14:30;4;CONFIRMED;;Masa lângă fereastră preferabil;;;;;2026-02-28T10:00:00;2026-03-01T09:00:00;11;1;1
2;LP-240002;2026-03-04;19:00;20:30;2;CONFIRMED;Masă romantică, ocazie specială;Aniversare cuplu;;2026-03-02T10:00:00;;;2026-03-01T15:00:00;2026-03-02T10:00:00;12;1;1
3;LP-240003;2026-03-04;20:00;22:00;6;CONFIRMED;;Grup de prieteni;;2026-03-02T11:00:00;;;2026-03-01T16:00:00;2026-03-02T11:00:00;13;1;1
4;LP-240004;2026-03-04;12:30;14:00;3;PENDING;Alergie la gluten;;;;;;2026-03-03T08:00:00;2026-03-03T08:00:00;11;1;2
5;AN-240001;2026-03-04;13:00;14:30;4;CONFIRMED;;Masa VIP preferat;;2026-03-02T12:00:00;;;2026-03-01T11:00:00;2026-03-02T12:00:00;12;3;4
6;AN-240002;2026-03-04;19:30;21:00;2;CONFIRMED;Vegetarieni;Atenție la ingrediente;;2026-03-02T13:00:00;;;2026-03-02T09:00:00;2026-03-02T13:00:00;13;3;4
7;AN-240003;2026-03-04;20:00;22:00;5;PENDING;;;;;;;2026-03-03T10:00:00;2026-03-03T10:00:00;11;3;5
8;SH-240001;2026-03-04;19:00;20:30;2;CONFIRMED;Fără gluten;Preferă sashimi;;2026-03-02T14:00:00;;;2026-03-01T20:00:00;2026-03-02T14:00:00;12;5;7
9;SH-240002;2026-03-04;20:30;22:00;4;CONFIRMED;;;;;;;2026-03-02T11:00:00;2026-03-02T11:00:00;13;5;7
10;VN-240001;2026-03-04;13:00;15:00;8;CONFIRMED;Masă pentru 8 persoane, eveniment de familie;;2026-03-02T15:00:00;;;;2026-02-28T16:00:00;2026-03-02T15:00:00;11;6;9
11;VN-240002;2026-03-04;19:00;21:00;4;CONFIRMED;Muzică live preferat;;2026-03-02T16:00:00;;;;2026-03-01T12:00:00;2026-03-02T16:00:00;12;6;9
12;VN-240003;2026-03-04;20:00;22:30;6;PENDING;;;;;;;2026-03-03T12:00:00;2026-03-03T12:00:00;13;6;10
13;GH-240001;2026-03-04;09:00;10:30;2;CONFIRMED;Mic dejun în liniște;;;2026-03-02T08:00:00;;;2026-03-01T18:00:00;2026-03-02T08:00:00;11;7;11
14;GH-240002;2026-03-04;12:00;13:30;3;CONFIRMED;;;;;;;2026-03-02T14:00:00;2026-03-02T14:00:00;12;7;11
15;GH-240003;2026-03-04;14:00;15:30;4;PENDING;Loc în grădina de vară;;;;;;2026-03-03T14:00:00;2026-03-03T14:00:00;13;7;12
